id,longitud,latitud,demanda
2287,-56.17544,-34.90531,2768
2288,-56.175453,-34.90529,2768
2289,-56.175934,-34.904366,2772
2290,-56.17618,-34.903996,3390
2291,-56.17619,-34.90398,3390
2292,-56.176617,-34.9033,3275
2293,-56.181465,-34.90434,2731
2294,-56.181458,-34.90435,2731
2295,-56.181137,-34.905087,2745
2296,-56.18113,-34.905098,2745
2297,-56.181126,-34.905106,2745
2298,-56.17743,-34.906456,2895
2299,-56.17726,-34.90577,3061
2300,-56.177265,-34.90554,3161
2301,-56.17727,-34.905525,3161
2302,-56.17739,-34.904793,3591
2303,-56.177395,-34.90478,3591
2304,-56.1774,-34.90477,3591
2305,-56.177094,-34.904213,2397
2306,-56.178078,-34.903595,3100
2307,-56.178295,-34.90321,2755
2308,-56.181866,-34.905502,3074
2309,-56.181866,-34.9055,3074
2310,-56.182186,-34.904865,3025
2311,-56.182194,-34.904854,3025
2312,-56.17951,-34.903515,2980
2313,-56.179497,-34.903534,2980
2314,-56.175896,-34.906593,3442
2315,-56.175903,-34.9066,3442
2316,-56.1763,-34.907043,2316
2317,-56.176113,-34.90776,2305
2318,-56.176113,-34.907784,2305
2319,-56.176014,-34.908813,2315
2320,-56.17602,-34.909966,2441
2321,-56.17599,-34.91027,2229
2322,-56.175922,-34.910862,2944
2323,-56.17572,-34.911793,3000
2324,-56.175667,-34.91237,3066
2325,-56.17524,-34.91301,2095
2326,-56.17521,-34.91301,2095
2327,-56.173553,-34.913586,1542
2328,-56.173542,-34.91363,1353
2329,-56.17622,-34.912777,2441
2330,-56.1762,-34.91275,2441
2331,-56.176846,-34.91232,2589
2332,-56.176846,-34.9123,2589
2333,-56.176994,-34.91199,2582
2334,-56.176994,-34.911976,2582
2335,-56.177197,-34.910057,2707
2336,-56.177315,-34.908817,2555
2337,-56.177406,-34.907906,2182
2338,-56.17735,-34.907223,2216
2339,-56.177353,-34.907207,2216
2340,-56.17602,-34.902645,2292
2341,-56.17601,-34.90267,2292
2342,-56.176,-34.90269,2292
2343,-56.175644,-34.903053,2822
2344,-56.17528,-34.903687,3429
2345,-56.174965,-34.90424,2951
2346,-56.174576,-34.905273,3635
2347,-56.17457,-34.905308,3635
2348,-56.17347,-34.90419,3936
2349,-56.173477,-34.90415,3936
2350,-56.17367,-34.903614,3324
2351,-56.17355,-34.90327,3718
2352,-56.17374,-34.90309,3325
2353,-56.173786,-34.902718,3290
2354,-56.173786,-34.9027,3290
2355,-56.1753,-34.90179,1749
2356,-56.17529,-34.901787,1749
2357,-56.173588,-34.901608,2950
2358,-56.173584,-34.901623,2950
2359,-56.17322,-34.902752,3114
2360,-56.173054,-34.90327,3420
2361,-56.173054,-34.90329,3820
2362,-56.17278,-34.904144,3579
2363,-56.174328,-34.904194,2812
2364,-56.1747,-34.903465,2753
2365,-56.17471,-34.903442,2753
2366,-56.172,-34.90093,3549
2367,-56.17198,-34.90092,3549
2368,-56.16794,-34.899265,3908
2369,-56.167133,-34.89895,4099
2370,-56.167118,-34.89894,3849
2371,-56.167103,-34.898933,3849
2372,-56.166897,-34.899876,3614
2373,-56.166893,-34.899895,3614
2374,-56.166836,-34.900158,3614
2375,-56.166813,-34.90049,3224
2376,-56.16681,-34.900513,3224
2377,-56.164402,-34.901745,1431
2378,-56.164402,-34.90177,1431
2379,-56.16423,-34.90343,1864
2380,-56.164135,-34.90416,1871
2381,-56.165276,-34.904243,1960
2382,-56.16518,-34.90382,2710
2383,-56.165226,-34.903336,1741
2384,-56.164875,-34.90359,2091
2385,-56.165417,-34.902782,1925
2386,-56.165485,-34.90215,2165
2387,-56.16553,-34.901756,2165
2388,-56.16559,-34.901207,2068
2389,-56.165756,-34.89975,2756
2390,-56.16566,-34.899307,2204
2391,-56.16566,-34.899284,2204
2392,-56.16585,-34.898838,4004
2393,-56.165863,-34.8988,4004
2394,-56.16576,-34.89844,3338
2395,-56.165764,-34.89842,3338
2396,-56.164803,-34.898117,2338
2397,-56.1648,-34.89815,2338
2398,-56.164646,-34.89962,1930
2399,-56.164642,-34.899647,1930
2400,-56.166626,-34.898968,3849
2401,-56.1666,-34.898968,3849
2402,-56.16798,-34.900032,3878
