longitud,latitud,demanda,demanda_normalizada,id
-56.190937,-34.899693,2128.0,0.32167726309415684,224
-56.190895,-34.9001,2343.0,0.3542234332425068,225
-56.19086,-34.900436,2343.0,0.3542234332425068,226
-56.19063,-34.901264,2047.0,0.30941568271268544,227
-56.190727,-34.901882,1869.0,0.28247048138056313,228
-56.190723,-34.901905,1869.0,0.28247048138056313,229
-56.19063,-34.902813,1803.0,0.2724795640326976,230
-56.1906,-34.903236,1925.0,0.2909476233726915,231
-56.190468,-34.904366,1747.0,0.2640024220405692,232
-56.19026,-34.90507,1954.0,0.2953375719043294,233
-56.1903,-34.906094,2307.0,0.34877384196185285,234
-56.190113,-34.906464,2377.0,0.35937026945201334,235
-56.19011,-34.906483,2377.0,0.35937026945201334,236
-56.190136,-34.90743,2640.0,0.3991825613079019,237
-56.190136,-34.90744,2640.0,0.3991825613079019,238
-56.190067,-34.90819,2528.0,0.38222827732364517,239
-56.190063,-34.908203,2528.0,0.38222827732364517,240
-56.189835,-34.908756,2695.0,0.40750832576445656,241
-56.189835,-34.908768,2695.0,0.40750832576445656,242
-56.189835,-34.908783,2695.0,0.40750832576445656,243
-56.18985,-34.910313,2396.0,0.362246442627914,244
-56.18985,-34.91033,2396.0,0.362246442627914,245
-56.189808,-34.910625,2543.0,0.38449894035725096,246
-56.189808,-34.910652,2978.0,0.45034816833181956,247
-56.18977,-34.91073,3098.0,0.46851347260066606,248
-56.190865,-34.911343,2903.0,0.4389948531637905,249
-56.19086,-34.91138,2903.0,0.4389948531637905,250
-56.190823,-34.910446,2602.0,0.39343021495610053,251
-56.190826,-34.910423,2602.0,0.39343021495610053,252
-56.190956,-34.908924,2915.0,0.4408113835906751,253
-56.19096,-34.9089,2915.0,0.4408113835906751,254
-56.19127,-34.907635,2357.0,0.3563427187405389,255
-56.191166,-34.90708,2448.0,0.3701180744777475,256
-56.19117,-34.90705,2533.0,0.38298516500151375,257
-56.193417,-34.90871,2772.0,0.4191643960036331,258
-56.193413,-34.90873,2772.0,0.4191643960036331,259
-56.193214,-34.909107,3031.0,0.45837117771722674,260
-56.19331,-34.909706,2774.0,0.4194671510747805,261
-56.193092,-34.91042,2935.0,0.44383893430214955,262
-56.19309,-34.91044,2935.0,0.44383893430214955,263
-56.193127,-34.91133,2777.0,0.41992128368150167,264
-56.195473,-34.91057,3050.0,0.46124735089312746,265
-56.195477,-34.910553,3050.0,0.46124735089312746,266
-56.195576,-34.90981,3225.0,0.4877384196185286,267
-56.195576,-34.909794,3618.0,0.5472297910990009,268
-56.195854,-34.907063,3199.0,0.4838026036936119,269
-56.196026,-34.90544,2133.0,0.3224341507720254,270
-56.19603,-34.905407,2133.0,0.3224341507720254,271
-56.19607,-34.905083,2133.0,0.3224341507720254,272
-56.196075,-34.905045,2389.0,0.36118679987889796,273
-56.196125,-34.904488,2361.0,0.3569482288828338,274
-56.19617,-34.90406,2532.0,0.38283378746594005,275
-56.19617,-34.904045,2532.0,0.38283378746594005,276
-56.19622,-34.9036,2194.0,0.3316681804420224,277
-56.19622,-34.90356,2194.0,0.3316681804420224,278
-56.193325,-34.903107,1352.0,0.20420829548894945,279
-56.19336,-34.903107,1352.0,0.20420829548894945,280
-56.194035,-34.902813,1586.0,0.23963063881320013,281
-56.194035,-34.902805,1586.0,0.23963063881320013,282
-56.191517,-34.900448,1790.0,0.2705116560702392,283
-56.19151,-34.90042,1790.0,0.2705116560702392,284
-56.19212,-34.899788,1671.0,0.2524977293369664,285
-56.192265,-34.901085,1986.0,0.30018165304268846,286
-56.193058,-34.89976,1449.0,0.21889191643960038,287
-56.193058,-34.89978,1449.0,0.21889191643960038,288
-56.193054,-34.899796,1464.0,0.22116257947320617,289
-56.192978,-34.90068,1611.0,0.24341507720254316,290
-56.192974,-34.90071,1674.0,0.2529518619436876,291
-56.19157,-34.901245,2161.0,0.3266727217680896,292
-56.19161,-34.901245,1986.0,0.30018165304268846,293
-56.19255,-34.902534,1604.0,0.24235543445352709,294
-56.192566,-34.902565,1604.0,0.24235543445352709,295
-56.19369,-34.905792,2137.0,0.3230396609143203,296
-56.193687,-34.905823,2068.0,0.31259461095973357,297
-56.193512,-34.9063,2253.0,0.3405994550408719,298
-56.193455,-34.906834,2233.0,0.33757190432939754,299
-56.19345,-34.90686,2233.0,0.33757190432939754,300
-56.193546,-34.907482,2635.0,0.3984256736300333,301
-56.193325,-34.90813,3351.0,0.5068119891008175,302
-56.19332,-34.908154,3351.0,0.5068119891008175,303
-56.19129,-34.90532,1795.0,0.27126854374810777,304
-56.19133,-34.90532,1795.0,0.27126854374810777,305
-56.191433,-34.90462,1692.0,0.25567665758401453,306
-56.191437,-34.904606,1692.0,0.25567665758401453,307
-56.19152,-34.90369,1817.0,0.27459884953072966,308
-56.191555,-34.90327,2029.0,0.3066908870723585,309
-56.19163,-34.902676,1590.0,0.240236148955495,310
-56.18668,-34.91317,1463.0,0.22101120193763246,311
-56.186974,-34.91434,1074.0,0.16212534059945505,312
-56.190296,-34.913784,1702.0,0.25719043293975175,313
-56.19032,-34.91377,1702.0,0.25719043293975175,314
-56.19035,-34.91376,1702.0,0.25719043293975175,315
-56.19037,-34.913746,1702.0,0.25719043293975175,316
-56.191708,-34.91272,2190.0,0.3310626702997275,317
-56.19171,-34.91266,2190.0,0.3310626702997275,318
-56.191715,-34.912617,2190.0,0.3310626702997275,319
-56.191776,-34.912067,2456.0,0.3713290947623373,320
-56.191784,-34.912025,2456.0,0.3713290947623373,321
-56.190784,-34.91212,2710.0,0.40977898879806235,322
-56.190773,-34.912155,2710.0,0.40977898879806235,323
-56.189793,-34.91272,2305.0,0.34847108689070544,324
-56.1898,-34.912766,2142.0,0.3237965485921889,325
-56.189545,-34.9128,2386.0,0.3607326672721768,326
-56.189503,-34.912807,2386.0,0.3607326672721768,327
-56.18865,-34.912876,1842.0,0.27838328792007266,328
-56.1884,-34.91203,1787.0,0.270057523463518,329
-56.188385,-34.911976,1667.0,0.25189221919467153,330
-56.188427,-34.911503,1818.0,0.27475022706630337,331
-56.18852,-34.91068,2245.0,0.33938843475628216,332
-56.188812,-34.909393,2636.0,0.39857705116560704,333
-56.188812,-34.90938,2636.0,0.39857705116560704,334
-56.188812,-34.909367,2636.0,0.39857705116560704,335
-56.18879,-34.908115,2487.0,0.3760217983651226,336
-56.18879,-34.90809,2487.0,0.3760217983651226,337
-56.189175,-34.90599,2527.0,0.38207689978807147,338
-56.18914,-34.904903,2487.0,0.3760217983651226,339
-56.189194,-34.904366,2374.0,0.35891613684529217,340
-56.1892,-34.904343,2374.0,0.35891613684529217,341
-56.18928,-34.903446,2151.0,0.32515894641235243,342
-56.189365,-34.902634,2356.0,0.3561913412049652,343
-56.189476,-34.90174,2793.0,0.4223433242506812,344
-56.189564,-34.900887,2270.0,0.34317287314562517,345
-56.189648,-34.89995,2359.0,0.3566454738116863,346
-56.18987,-34.899334,1413.0,0.2134423251589464,347
-56.188637,-34.90033,1926.0,0.29109900090826524,348
-56.188385,-34.901142,2643.0,0.3996366939146231,349
-56.18833,-34.90173,2460.0,0.37193460490463215,350
-56.18831,-34.90202,2658.0,0.4019073569482289,351
-56.188255,-34.902412,2543.0,0.38449894035725096,352
-56.18835,-34.903057,2841.0,0.4296094459582198,353
-56.18814,-34.904938,2894.0,0.437632455343627,354
-56.188034,-34.90594,2421.0,0.36603088101725706,355
-56.188034,-34.90597,2196.0,0.33197093551316986,356
-56.187897,-34.90724,2706.0,0.4091734786557675,357
-56.18789,-34.907284,2985.0,0.4514078110808356,358
-56.187893,-34.907326,2985.0,0.4514078110808356,359
-56.18779,-34.90829,2615.0,0.39539812291855886,360
-56.187717,-34.908924,2345.0,0.35452618831365423,361
-56.187637,-34.909683,2897.0,0.43808658795034816,362
-56.187527,-34.910805,1694.0,0.255979412655162,363
-56.18744,-34.91174,1144.0,0.1727217680896155,364
-56.187435,-34.911755,1144.0,0.1727217680896155,365
-56.185047,-34.91233,2182.0,0.3298516500151378,366
-56.184807,-34.91263,2331.0,0.35240690281562215,367
