Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,100,0.30,0.70,0.10,-44.17
50,100,0.30,0.70,0.20,-45.55
50,100,0.30,0.70,0.05,-45.01
50,100,0.30,0.70,0.01,-43.00
50,100,0.10,0.90,0.10,-43.53
50,100,0.10,0.90,0.20,-41.62
50,100,0.10,0.90,0.05,-42.83
200,200,0.30,0.70,0.01,-45.46
50,100,0.10,0.90,0.01,-42.93
50,100,0.10,1.00,0.10,-43.11
100,500,0.90,1.00,0.05,-53.12
50,100,0.10,1.00,0.20,-44.21
50,100,0.10,1.00,0.05,-42.44
500,500,0.50,0.80,0.05,-53.34
50,100,0.10,1.00,0.01,-41.09
50,100,0.10,0.80,0.10,-40.30
50,100,0.10,0.80,0.20,-42.11
500,100,0.90,1.00,0.20,-55.32
200,200,0.10,0.90,0.10,-47.09
50,100,0.10,0.80,0.05,-41.01
50,100,0.10,0.80,0.01,-40.59
50,100,0.10,0.70,0.10,-40.44
50,100,0.10,0.70,0.20,-41.43
50,100,0.10,0.70,0.05,-41.80
50,100,0.10,0.70,0.01,-40.62
100,500,0.90,1.00,0.01,-51.28
200,200,0.10,0.90,0.20,-46.99
50,50,0.50,0.90,0.10,-46.50
50,50,0.50,0.90,0.20,-46.89
500,200,0.90,0.90,0.20,-55.68
50,50,0.50,0.90,0.05,-45.97
50,50,0.50,0.90,0.01,-46.96
200,200,0.10,0.90,0.05,-47.47
50,50,0.50,1.00,0.10,-46.16
50,50,0.50,1.00,0.20,-46.28
100,500,0.90,0.80,0.10,-51.90
50,50,0.50,1.00,0.05,-47.96
50,50,0.50,1.00,0.01,-45.66
200,200,0.10,0.90,0.01,-46.97
50,50,0.50,0.80,0.10,-46.02
50,50,0.50,0.80,0.20,-47.05
50,50,0.50,0.80,0.05,-46.92
50,50,0.50,0.80,0.01,-45.94
200,200,0.10,1.00,0.10,-48.88
100,500,0.90,0.80,0.20,-53.72
50,50,0.50,0.70,0.10,-46.18
50,50,0.50,0.70,0.20,-46.45
50,50,0.50,0.70,0.05,-45.77
500,100,0.90,1.00,0.05,-52.41
50,50,0.50,0.70,0.01,-45.58
