Poblacion,Generaciones,Greedy,Cruce,Mutacion,Fitness
50,100,0.10,1.00,0.01,4.57
200,200,0.30,0.90,0.20,3.67
50,100,0.10,0.80,0.10,4.55
50,50,0.50,0.80,0.20,3.39
50,100,0.10,0.80,0.20,4.52
100,500,0.10,0.90,0.10,3.98
100,50,0.30,0.70,0.01,4.05
50,100,0.10,0.80,0.05,4.57
50,50,0.50,0.80,0.05,3.43
100,50,0.10,0.90,0.10,4.58
50,100,0.10,0.80,0.01,4.62
50,100,0.10,0.70,0.10,4.55
50,50,0.50,0.80,0.01,3.47
100,50,0.10,0.90,0.20,4.54
50,100,0.10,0.70,0.20,4.51
100,50,0.10,0.90,0.05,4.56
50,100,0.10,0.70,0.05,4.60
50,50,0.50,0.70,0.10,3.46
50,100,0.10,0.70,0.01,4.57
100,50,0.10,0.90,0.01,4.51
50,50,0.50,0.70,0.20,3.40
100,500,0.10,0.90,0.20,3.83
50,50,0.30,0.90,0.10,4.04
100,50,0.10,1.00,0.10,4.53
200,200,0.30,0.90,0.05,3.84
50,50,0.30,0.90,0.20,4.01
50,50,0.50,0.70,0.05,3.45
100,50,0.10,1.00,0.20,4.48
50,50,0.30,0.90,0.05,4.06
100,50,0.10,1.00,0.05,4.49
50,50,0.50,0.70,0.01,3.44
50,50,0.30,0.90,0.01,4.08
100,50,0.10,1.00,0.01,4.49
50,50,0.30,1.00,0.10,4.08
100,50,0.10,0.80,0.10,4.54
50,50,0.90,0.90,0.10,2.15
50,50,0.30,1.00,0.20,4.02
100,500,0.10,0.90,0.05,4.18
100,50,0.10,0.80,0.20,4.52
50,50,0.30,1.00,0.05,4.05
100,50,0.10,0.80,0.05,4.59
50,50,0.30,1.00,0.01,4.07
50,50,0.90,0.90,0.20,2.13
200,200,0.30,0.90,0.01,3.94
100,50,0.10,0.80,0.01,4.55
50,50,0.30,0.80,0.10,4.02
100,50,0.10,0.70,0.10,4.61
50,50,0.30,0.80,0.20,4.01
50,50,0.90,0.90,0.05,2.14
50,50,0.30,0.80,0.05,4.06
100,50,0.10,0.70,0.20,4.48
50,50,0.30,0.80,0.01,4.06
500,200,0.50,0.70,0.05,3.11
100,50,0.10,0.70,0.05,4.62
50,50,0.90,0.90,0.01,2.18
100,500,0.10,0.90,0.01,4.45
50,50,0.30,0.70,0.10,4.03
100,50,0.10,0.70,0.01,4.59
50,50,0.10,0.90,0.10,4.61
50,50,0.30,0.70,0.20,4.00
50,50,0.10,0.90,0.20,4.53
50,50,0.30,0.70,0.05,4.03
50,50,0.10,0.90,0.05,4.56
50,50,0.90,1.00,0.10,2.13
50,50,0.10,0.90,0.01,4.51
50,50,0.30,0.70,0.01,4.07
50,50,0.10,1.00,0.10,4.55
200,200,0.30,1.00,0.10,3.77
50,50,0.10,1.00,0.20,4.57
50,50,0.10,1.00,0.05,4.59
500,100,0.90,0.90,0.05,2.09
50,50,0.10,1.00,0.01,4.62
50,50,0.90,1.00,0.20,2.16
50,50,0.10,0.80,0.10,4.55
100,500,0.10,1.00,0.10,4.06
50,50,0.90,0.80,0.10,2.08
50,50,0.10,0.80,0.20,4.58
50,50,0.10,0.80,0.05,4.58
50,50,0.10,0.80,0.01,4.66
50,50,0.10,0.70,0.10,4.54
50,50,0.90,1.00,0.05,2.10
50,50,0.10,0.70,0.20,4.59
50,50,0.90,0.80,0.20,2.13
50,50,0.10,0.70,0.05,4.63
50,50,0.10,0.70,0.01,4.61
50,50,0.90,1.00,0.01,2.16
100,500,0.10,1.00,0.20,3.73
50,50,0.90,0.80,0.05,2.15
200,200,0.30,1.00,0.20,3.66
50,50,0.90,0.70,0.10,2.14
50,50,0.90,0.80,0.01,2.17
50,50,0.90,0.70,0.05,2.14
50,50,0.90,0.70,0.20,2.15
500,500,0.50,0.80,0.10,2.76
100,500,0.10,1.00,0.05,4.12
200,200,0.30,1.00,0.05,3.81
100,500,0.10,0.80,0.10,3.99
100,500,0.10,1.00,0.01,4.33
500,200,0.50,0.70,0.01,3.32
50,50,0.90,0.70,0.01,2.19
100,500,0.10,0.80,0.20,3.87
200,200,0.30,1.00,0.01,3.93
100,500,0.10,0.70,0.10,4.06
100,500,0.10,0.80,0.05,4.18
100,500,0.10,0.70,0.05,4.21
500,100,0.90,0.90,0.01,2.15
200,200,0.30,0.80,0.10,3.76
100,500,0.10,0.70,0.20,3.85
100,500,0.10,0.80,0.01,4.47
100,500,0.10,0.70,0.01,4.49
200,200,0.30,0.80,0.20,3.66
500,200,0.30,0.90,0.10,3.65
200,100,0.50,0.90,0.10,3.32
200,200,0.30,0.80,0.05,3.85
200,100,0.50,0.90,0.20,3.28
200,200,0.30,0.80,0.01,3.94
500,200,0.10,0.90,0.10,4.05
500,200,0.90,0.90,0.10,1.95
500,500,0.50,0.80,0.20,2.67
500,100,0.90,1.00,0.10,2.02
200,100,0.50,0.90,0.05,3.35
200,200,0.30,0.70,0.10,3.76
500,200,0.30,0.90,0.20,3.54
200,100,0.50,0.90,0.01,3.38
200,200,0.30,0.70,0.20,3.69
500,200,0.10,0.90,0.20,3.88
500,500,0.30,0.90,0.10,3.17
200,100,0.50,1.00,0.10,3.30
200,200,0.30,0.70,0.05,3.82
200,100,0.50,1.00,0.20,3.32
200,200,0.30,0.70,0.01,3.94
500,200,0.30,0.90,0.05,3.73
